AREANM,AREACD,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017
Merton,E09000024,51,38.3,46.3,45.2,41.3,40.4,39.8,34,41.1,39.6,38,35.4,28,27.6,25.4,22,19.7,14.2,16.5,12.8
Newham,E09000025,59.9,56.5,55.9,56.6,58.2,53,47.6,45.1,45.6,40.9,41.6,39.6,33.6,26.9,24.2,21.5,22.9,22.1,19.6,16.9
Redbridge,E09000026,25.9,26.7,25.4,34.8,33.4,32.7,31.5,32.8,29.1,29.3,28.4,33,27.9,25.5,16.1,16.9,18.4,13.6,11,12.4
Richmond upon Thames,E09000027,23.1,18.9,22.5,21.7,26.8,22.7,22.6,20.8,26.7,15.3,22.4,19,17.4,19.8,19.9,11.7,12.6,12.9,10.4,6.6
Southwark,E09000028,87.2,84.3,83,83.8,81.7,86.1,80.3,63.9,64.7,64.3,56.9,53.3,45.4,42.7,31.9,30.6,27.4,24.8,25.9,20.5
Sutton,E09000029,38.8,33.3,36,36,34.7,30.2,30.7,30,30.6,34.3,40.9,33.2,24.5,30.5,25.8,17.7,17.4,14.4,18.1,15.2
Tower Hamlets,E09000030,57.8,45.5,48.5,55,45.8,40.7,39.2,40.4,39.5,40.4,28.8,36.7,28.4,28.5,24.1,18.6,18,21.1,12.6,15.2
Waltham Forest,E09000031,56,54.1,57.2,56,56.8,53,43.9,44,42.6,45.7,43.1,46.8,37.7,31.2,29.9,21.7,26.2,20.5,21.1,18.1
Wandsworth,E09000032,71.1,69.6,68.5,59.4,61.8,54.2,53.7,47,51,50.4,39.6,36.7,35.5,29.4,25.4,21.2,19.1,18.5,21.2,15
Westminster,E09000033,40.8,42.3,57.2,42.5,49.7,50,37.5,34.3,57.7,50.7,51,43.5,35.6,23.2,21.2,9.6,15.5,11.9,4.9,6.7
Isle of Anglesey,W06000001,41.7,44,32.2,36,35,34.1,32.2,30.5,39.4,36.1,41.8,49.2,35.4,37.8,37.8,23.3,23.6,23.4,16.9,29.6
Gwynedd,W06000002,43.7,41.8,41,44.1,47.8,36,40.5,44.4,47.9,55,41,45.3,34.9,37,32.5,28.4,24,23,19.4,16.2
Conwy,W06000003,49.8,53.7,51.1,38.3,41.3,52.8,48.2,47.6,49.9,37.9,42,40.4,37.2,34.2,33.8,25.6,29.9,24.7,19.4,21.7
Denbighshire,W06000004,48.7,47.7,45.7,37.3,40.8,43.1,50.3,44.4,41.8,49.4,48,43.2,35.1,36.6,33,35,30.6,37,25.5,17.5
Flintshire,W06000005,47.4,45.9,43.8,38.7,40.3,35,36.1,38.7,32.6,39.8,34.8,31.3,36.4,34.3,30,27.3,26.1,32.7,17.1,26.3
Wrexham,W06000006,54.2,62.3,50.1,40.6,44.9,55.5,61.7,61.7,58,43.2,45.9,43.7,43.2,38.9,37.2,41.3,26.7,37.1,21.2,21
Ceredigion,W06000008,32.3,24.6,37.5,26.5,32.1,25.5,43.8,35.3,37.2,33.6,28,30.4,24.1,33.6,20.7,19.5,22,10.7,17.8,12
Pembrokeshire,W06000009,42.6,37.8,45.6,39.8,47.5,37.3,41,36.8,44.9,41,44.7,34.5,29.3,39.7,28.6,27.4,23.8,15.2,14.9,19.3
Carmarthenshire,W06000010,52.4,37.8,37.7,34.8,41.8,36.4,36.5,35.2,33.2,35.4,35.6,33.3,32.4,31.5,27.8,20.6,25,16.9,19.5,18.4
Swansea,W06000011,62.9,62,50.9,49.1,46.9,38.3,42.7,39.6,39.8,43.8,38.8,39.3,36.9,29.2,26.8,24.8,21.8,27.1,25.1,24.7
Neath Port Talbot,W06000012,53,53.5,57.8,43.8,43.8,55.9,43.9,46.5,46.7,44.4,52.4,43.1,34.8,30.5,32.9,29.5,27.3,23.3,17.5,23.1
Bridgend,W06000013,69.1,56.7,52.1,49.6,48.5,49.4,43.4,45.3,42.6,43.3,49.4,41.1,40.4,41.1,37.4,31.1,32.1,27.2,24,22.1
The Vale of Glamorgan,W06000014,50.5,41.3,30.8,38.1,39.2,39,37.4,35.5,43.3,32.8,39.3,32.3,31,28.7,28.4,19.4,15.8,19.1,15.9,13.6
Cardiff,W06000015,51.7,52.1,46.3,46.6,46.1,48.2,48.1,44.7,47.7,51,47.8,45.3,46,39.2,35,30.4,27.5,27.5,22.3,21.2
Rhondda Cynon Taf,W06000016,70.6,60.8,61.9,61.3,59.2,64,60.9,54,54.4,57.5,59.2,46.6,48.3,40.3,35.5,39.3,31.4,32.8,29,25.7
Caerphilly,W06000018,70.3,68.1,60.9,57.8,51.9,51.4,52.7,52.1,54.2,42.8,45,37.4,36.4,30.7,26.3,22.8,25.8,22.2,19.1,18
Blaenau Gwent,W06000019,74.4,70.2,67.4,52.9,55.9,60.6,46.1,49.8,42.1,48,41.5,40.4,37,25.5,39.9,26.1,26.7,21.1,17,16.1
Torfaen,W06000020,67.1,57.5,53,54.6,47.6,59.6,66.7,59.9,55.9,52.4,51,42,35.4,31.6,30.2,30.6,28.8,20.2,23.2,22.9
Monmouthshire,W06000021,32,25,29.2,24.5,32.5,32.3,21.3,29.1,33.9,35,27.7,20.3,22.2,18.1,20.6,15.2,14.2,8.4,10.8,5.7
Newport,W06000022,58.1,55,49.9,56,57.9,55.7,43.3,48.7,51.8,49.2,41.8,42.1,41.3,38.1,30.8,24.3,22.2,18.6,25.7,21.3
Powys,W06000023,37.3,31.5,29.8,29,33.1,30.8,30.4,26.5,31.1,38.1,27.2,25.5,24.2,21.3,19.1,16,21.2,18.5,14.9,12.1
Merthyr Tydfil,W06000024,71.1,62.2,61.2,75.3,58.4,46.5,63.4,50.9,54.1,65.2,69.7,56.8,42,54.1,31.9,31.3,27.9,31.5,33.8,23.6
